bedroom|bathroom|garage|parking|erf-size|building-size|price
3|2.5|1|1|NaN|184 m²|R6,400,000
5|5|4|4|660 m²|530 m²|R6,400,000
2|2|1|NaN|NaN|154 m²|R6,395,000
4|3|2|5|1,216 m²|750 m²|R6,395,000
3|2|NaN|1|3,742 m²|144 m²|R6,350,000
4|3|1|NaN|491 m²|239 m²|R6,300,000
3|3|2|NaN|643 m²|326 m²|R6,300,000
2|2|NaN|NaN|NaN|213 m²|R6,300,000
4|3|2|NaN|1,489 m²|240 m²|R6,295,000
6|4.5|2|NaN|1,157 m²|430 m²|R6,295,000
3|1|1|1|NaN|122 m²|R6,295,000
5|4|2|NaN|666 m²|530 m²|R6,250,000
2|2|1|NaN|NaN|140 m²|R6,250,000
2|2.5|NaN|1|NaN|120 m²|R6,250,000
3|2|2|NaN|535 m²|NaN|R6,200,000
4|3|NaN|NaN|757 m²|NaN|R6,200,000
2|2|1|1|NaN|120 m²|R6,150,000
3|3|3|NaN|849 m²|NaN|R6,150,000
3|3.5|NaN|NaN|199 m²|199 m²|R6,000,000
4|3|1|NaN|495 m²|NaN|R6,000,000
5|4|3|NaN|969 m²|NaN|R6,000,000
2|2.5|NaN|2|NaN|84 m²|R5,999,000
6|3|3|NaN|1,179 m²|579 m²|R5,995,000
2|2|NaN|2|NaN|87 m²|R5,995,000
3|3|2|NaN|730 m²|NaN|R5,995,000
2|2|1|1|NaN|83 m²|R5,995,000
7|6.5|NaN|NaN|1,488 m²|590 m²|R5,995,000
4|2|2|NaN|599 m²|333 m²|R5,995,000
2|2|NaN|2|NaN|155 m²|R5,995,000
3|2|NaN|NaN|169 m²|NaN|R5,990,000
2|2|NaN|2|NaN|96 m²|R5,990,000
4|3|2|NaN|727 m²|NaN|R5,950,000
2|2|NaN|1|84 m²|86 m²|R5,950,000
3|2.5|2|NaN|205 m²|262 m²|R5,950,000
3|2|1|NaN|278 m²|NaN|R5,950,000
5|2|2|NaN|1,029 m²|450 m²|R5,950,000
1|1|NaN|1|NaN|72 m²|R5,895,000
4|2|2|NaN|380 m²|308 m²|R5,895,000
2|2.5|NaN|NaN|124 m²|NaN|R5,850,000
4|3|2|NaN|666 m²|NaN|R5,850,000
2|2|NaN|2|NaN|108 m²|R5,850,000
3|3|NaN|2|2,625 m²|171 m²|R5,850,000
8|6|NaN|NaN|942 m²|NaN|R5,800,000
3|2|NaN|NaN|NaN|108 m²|R5,800,000
2|2|NaN|NaN|NaN|85 m²|R5,798,000
4|3|1|NaN|828 m²|NaN|R5,795,000
4|4|3|NaN|2,225 m²|423 m²|R5,795,000
3|2.5|NaN|NaN|176 m²|176 m²|R5,750,000
2|2|NaN|2|NaN|86 m²|R5,750,000
2|2|NaN|2|NaN|87 m²|R5,750,000
6|5|3|NaN|560 m²|NaN|R5,700,000
2|2|NaN|2|NaN|86 m²|R5,700,000
5|3.5|2|NaN|1,000 m²|465 m²|R5,690,000
2|2|NaN|2|NaN|125 m²|R5,650,000
3|2|1|NaN|165 m²|165 m²|R5,600,000
4|2.5|2|NaN|699 m²|240 m²|R5,595,000
4|3|2|NaN|1,338 m²|404 m²|R5,590,000
3|2.5|2|NaN|1,002 m²|290 m²|R5,500,000
3|2|NaN|NaN|745 m²|136 m²|R5,500,000
3|2|1|NaN|NaN|140 m²|R5,500,000
3|2.5|1|NaN|129 m²|150 m²|R5,500,000
3|2|1|2|688 m²|NaN|R5,495,000
3|3|3|NaN|NaN|174 m²|R5,495,000
3|2.5|2|NaN|NaN|144 m²|R5,495,000
4|2|1|NaN|495 m²|NaN|R5,495,000
3|2|2|NaN|200 m²|NaN|R5,490,000
2|2|NaN|NaN|NaN|94 m²|R5,450,000
3|3.5|2|NaN|853 m²|315 m²|R5,395,000
2|2|NaN|2|NaN|87 m²|R5,350,000
5|4|3|NaN|1,127 m²|450 m²|R5,350,000
2|2|NaN|2|NaN|87 m²|R5,350,000
2|2|1|NaN|167 m²|NaN|R5,350,000
